node_index,root_id,type,side,gate,protected,base_success_rate,ablated_success_rate,success_drop
123,720575940619397542,LC4,left,0.9089308977127075,False,0.75,0.5,0.25
75,720575940615575007,LC4,left,0.7414170503616333,False,0.75,0.5,0.25
90,720575940617176321,LC4,left,0.48246127367019653,False,0.75,0.5,0.25
140,720575940620729816,LPLC4,left,0.877670407295227,False,0.75,0.625,0.125
61,720575940614572742,LC4,left,0.6667170524597168,False,0.75,0.625,0.125
280,720575940630998339,LC4,left,0.6003807187080383,False,0.75,0.625,0.125
349,720575940640612480,LC4,left,0.8132306933403015,False,0.75,0.6875,0.0625
217,720575940626375172,LPLC2,left,0.7375131249427795,False,0.75,0.6875,0.0625
332,720575940638456227,LC4,left,0.6101800799369812,False,0.75,0.6875,0.0625
345,720575940640172221,CL323a,left,0.5981770157814026,False,0.75,0.6875,0.0625
346,720575940640302389,LPLC2,left,0.5980595946311951,False,0.75,0.6875,0.0625
308,720575940634223514,LPLC4,left,0.5472754240036011,False,0.75,0.6875,0.0625
230,720575940626886568,LPLC4,left,0.47303542494773865,False,0.75,0.6875,0.0625
266,720575940629368015,LPLC2,left,0.4523538053035736,False,0.75,0.6875,0.0625
231,720575940626916936,LC4,left,0.9992179870605469,False,0.75,0.75,0.0
371,720575940649229433,LC4,left,0.9952373504638672,False,0.75,0.75,0.0
353,720575940641216976,LPLC4,left,0.895269513130188,False,0.75,0.75,0.0
248,720575940628462340,LC4,left,0.847618818283081,False,0.75,0.75,0.0
144,720575940620813989,LTe20,left,0.7306238412857056,False,0.75,0.75,0.0
74,720575940615528678,PVLP024,right,0.5804906487464905,False,0.75,0.75,0.0
205,720575940625697772,LPLC2,left,0.5718681216239929,False,0.75,0.75,0.0
171,720575940623003653,LPLC4,left,0.51943439245224,False,0.75,0.75,0.0
366,720575940646414132,LPLC4,left,0.4659428596496582,False,0.75,0.75,0.0
237,720575940627645514,DNp03,left,1.0,True,0.75,,
