=== PHASE 3 — 6-DoF DENSE ROBUSTNESS (10 maps/profile) ===
profile          controller                  success  collision   time_s    tilt     sat
clean            fly_heuristic_6dof            90.0%       0.0%    44.17   36.5°    6.0%
clean            modified_fly_6dof            100.0%       0.0%    22.89   32.3°    0.5%
clean            flywire_raw_6dof               0.0%     100.0%    12.42   23.1°    0.3%
clean            flywire_bilateral_6dof       100.0%       0.0%    26.53   31.7°    1.3%
clean            classical_vfh_6dof           100.0%       0.0%    19.44   32.0°    0.3%
sensor_noise     fly_heuristic_6dof            10.0%       0.0%    74.92   31.2°    3.7%
sensor_noise     modified_fly_6dof            100.0%       0.0%    22.77   26.7°    0.5%
sensor_noise     flywire_raw_6dof               0.0%     100.0%    11.97   20.6°    0.4%
sensor_noise     flywire_bilateral_6dof       100.0%       0.0%    24.68   25.3°    0.3%
sensor_noise     classical_vfh_6dof            90.0%      10.0%    18.35   31.9°    0.7%
latency_160ms    fly_heuristic_6dof           100.0%       0.0%    53.77   33.6°    7.4%
latency_160ms    modified_fly_6dof            100.0%       0.0%    26.21   30.6°    0.4%
latency_160ms    flywire_raw_6dof               0.0%     100.0%    12.05   24.2°    0.2%
latency_160ms    flywire_bilateral_6dof       100.0%       0.0%    23.57   27.1°    2.5%
latency_160ms    classical_vfh_6dof           100.0%       0.0%    18.85   32.2°    0.0%
gusty_wind       fly_heuristic_6dof           100.0%       0.0%    40.91   34.2°    6.1%
gusty_wind       modified_fly_6dof            100.0%       0.0%    23.79   30.0°    0.6%
gusty_wind       flywire_raw_6dof               0.0%     100.0%    11.98   21.8°    0.3%
gusty_wind       flywire_bilateral_6dof        70.0%       0.0%    44.77   32.1°    1.3%
gusty_wind       classical_vfh_6dof            70.0%      30.0%    17.39   32.6°    0.3%
combined         fly_heuristic_6dof             0.0%       0.0%    75.00   34.6°    3.9%
combined         modified_fly_6dof            100.0%       0.0%    24.95   27.3°    0.7%
combined         flywire_raw_6dof               0.0%     100.0%    11.52   24.5°    0.2%
combined         flywire_bilateral_6dof        90.0%      10.0%    22.74   27.1°    0.6%
combined         classical_vfh_6dof            60.0%      40.0%    13.83   31.9°    0.0%
